#,PostalCode,AfterTaxIncome2015,Population_2016,Bourough,Neighborhood,Latitude,Longitude
66,M2P,115237,7843,North York,York Mills West,43.7527583,-79.4000493
55,M5M,111821,25975,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
61,M4N,109841,15330,Central Toronto,Lawrence Park,43.7280205,-79.3887901
74,M5R,108271,26496,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
98,M8X,97210,10787,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436
45,M2L,96512,11717,North York,"Silver Hills, York Mills",43.7574902,-79.3747141
23,M4G,94853,19076,East York,Leaside,43.7090604,-79.3634517
12,M1C,93943,35626,Scarborough,"Highland Creek, Rouge Hill, Port Union",43.7845351,-79.1604971
11,M9B,91110,32400,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.6509432,-79.5547244
7,M3B,90841,13324,North York,Don Mills North,43.7459058,-79.352188
87,M5V,89901,49195,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.6289467,-79.3944199
35,M4J,87847,35738,East York,East Toronto,43.685347,-79.3381065
95,M1X,85949,15097,Scarborough,Upper Rouge,43.8361247,-79.2056361
58,M1N,84916,22136,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
37,M6J,81956,32684,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497
91,M4W,81815,14561,Downtown Toronto,Rosedale,43.6795626,-79.3775294
83,M4T,79518,10463,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
62,M5N,78988,16610,Central Toronto,Roselawn,43.7116948,-79.4169356
19,M4E,78910,25044,East Toronto,The Beaches,43.6763574,-79.2930312
102,M8Z,78903,17038,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.6288408,-79.5209994
73,M4R,78625,11394,Central Toronto,North Toronto West,43.7153834,-79.4056784
81,M6S,76142,34299,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
20,M5E,74061,9118,Downtown Toronto,Berczy Park,43.6447708,-79.3733064
68,M5P,71896,19423,Central Toronto,"Forest Hill North, Forest Hill West",43.6969476,-79.4113072
14,M4C,71040,46866,East York,Woodbine Heights,43.6953439,-79.3183887
86,M4V,70912,18241,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.6864123,-79.4000493
36,M5J,70843,14545,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station",43.6408157,-79.3817523
30,M5H,70571,2005,Downtown Toronto,"Adelaide, King, Richmond",43.6505712,-79.3845675
15,M5C,69914,2951,Downtown Toronto,St. James Town,43.6514939,-79.3754179
47,M4L,69292,32640,East Toronto,"The Beaches West, India Bazaar",43.6689985,-79.3155716
17,M9C,67878,38291,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6435152,-79.5772008
77,M9R,67497,33743,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.6889054,-79.5547244
75,M6R,67057,19857,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
5,M9A,65760,35594,Etobicoke,Islington Avenue,43.6678556,-79.5322424
33,M2J,65712,58293,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557
54,M4M,65008,24689,East Toronto,Studio District,43.6595255,-79.340923
27,M2H,64986,24497,North York,Hillcrest Village,43.8037622,-79.3634517
70,M9P,64448,20874,Etobicoke,Westmount,43.696319,-79.5322424
79,M4S,63902,26506,Central Toronto,Davisville,43.7043244,-79.3887901
25,M6G,63744,32086,Downtown Toronto,Christie,43.669542,-79.4225637
93,M8W,63602,20674,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
28,M3H,63342,37011,North York,"Bathurst Manor, Downsview North, Wilson Heights",43.7543283,-79.4422593
101,M8Y,63142,21299,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6362579,-79.4985091
6,M1B,62789,66108,Scarborough,"Rouge, Malvern",43.8066863,-79.1943534
44,M1L,61884,35081,Scarborough,"Clairlea, Golden Mile, Oakridge",43.7111117,-79.2845772
16,M6C,60516,24596,York,Humewood-Cedarvale,43.6937813,-79.4281914
51,M1M,60505,22913,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West",43.716316,-79.2394761
85,M1V,59910,54680,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8152522,-79.2845772
94,M9W,59873,40684,Etobicoke,Northwest,43.7067483,-79.5940544
39,M2K,59578,23852,North York,Bayview Village,43.7869473,-79.385975
69,M6P,59549,40035,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
90,M1W,59517,48471,Scarborough,"L'Amoreaux West, Steeles West",43.7995252,-79.3183887
10,M6B,59401,28522,North York,Glencairn,43.709577,-79.4450726
50,M9L,58189,11950,North York,Humber Summit,43.7563033,-79.5659633
78,M1S,57738,37769,Scarborough,Agincourt,43.7942003,-79.2620294
0,M3A,57698,34615,North York,Parkwoods,43.7532586,-79.3296565
41,M4K,57366,31583,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
